,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Nazwa,Cena kupiona,Cena zaoferowana,Link,offer_id,Stan:,Kupione,Model,Producent:,Cena
0,0,0,0,0,0,0,"  Quadro P400 DVI, 2GB GDDR5 64 Bit, 3x m",Brak,559,https://archiwum.allegro.pl//oferta/pny-nvidia-quadro-p400-dvi-2gb-gddr5-64-bit-3x-m-i7740642216.html,7740642216,Nowy,0,QUADROp400,PNY,559
1,1,1,1,1,1,1, VGA  GTX1070  8G 8GB GDDR5 256bit D,Brak,1971,https://archiwum.allegro.pl//oferta/karta-vga-msi-gtx1070-gaming-8g-8gb-gddr5-256bit-d-i7779387820.html,7779387820,Nowy,0,GTX1070,MSI,1971
2,2,2,2,2,2,2,  GTX 960 iChill Air BossX3 Ultra 2GB,480,480,https://archiwum.allegro.pl//oferta/inno3d-geforce-gtx-960-ichill-air-bossx3-ultra-2gb-i7794260993.html,7794260993,Używany,1,GTX960,Inno3D,480
3,3,3,3,3,3,3, GTX 1060 3GB Superclked,500,500,https://archiwum.allegro.pl//oferta/evga-gtx-1060-3gb-superclocked-i7804921805.html,7804921805,Używany,1,GTX1060,EVGA,500
4,4,4,4,4,4,4,    RX 570  4GB GDDR5,Brak,728,https://archiwum.allegro.pl//oferta/karta-graficzna-asus-radeon-rx-570-oc-4gb-gddr5-i7799359913.html,7799359913,Nowy,0,RX570,ASUS,728
5,5,5,5,5,5,5, GTX1050 Ti  4GB GDDR5 128bit 2xDVI+HDMI,Brak,799,https://archiwum.allegro.pl//oferta/asus-gtx1050-ti-oc-4gb-gddr5-128bit-2xdvi-hdmi-i7710959973.html,7710959973,Nowy,0,GTX1050ti,Asus,799
6,6,6,6,6,6,6,OUTLET    RX 580 ARMOR  8GB GDDR5,Brak,849,https://archiwum.allegro.pl//oferta/outlet-karta-msi-radeon-rx-580-armor-oc-8gb-gddr5-i7758205684.html,7758205684,,0,RX580,MSI,849
7,7,7,7,7,7,7,GTX 980TI 6GB -  G1  -X-KOM gw,Brak,1120,https://archiwum.allegro.pl//oferta/gtx-980ti-6gb-gigabyte-g1-gaming-x-kom-gw-i7798418781.html,7798418781,Używany,0,GTX980ti,Gigabyte,1120
8,8,8,8,8,8,8,    GTX 960 4GB,550,550,https://archiwum.allegro.pl//oferta/karta-graficzna-asus-geforce-gtx-960-4gb-i7794099929.html,7794099929,Używany,1,GTX960,ASUS,550
9,9,9,9,9,9,9, AERO GTX1070 8GB DDR5 Faktura VAT 23m gwarancj,1100,1100,https://archiwum.allegro.pl//oferta/msi-aero-gtx1070-8gb-ddr5-faktura-vat-23m-gwarancj-i7796804021.html,7796804021,Używany,1,GTX1070,MSI,1100
