,Cena,Kupione,Chłodzenie:,Faktura:,Interfejs złącza karty:,Pamięć:,Producent chipsetu:,Producent:,Rodzaj pamięci:,Stan:,Szyna pamięci:,Model
0,409,1,powietrzem,Wystawiam fakturę VAT,PCI Express,2,NVIDIA,NVIDIA,GDDR5,Używany,256,QUADRO4000
1,1410,0,powietrzem,Wystawiam fakturę bez VAT,PCI Express,6,NVIDIA,ZOTAC,GDDR6,Nowy,192,GTX1660ti
2,4990,0,powietrzem,Nie wystawiam faktury,PCI Express,11,NVIDIA,nVidia,GDDR6,Nowy,352,RTX2080ti
3,1899,6,powietrzem,Nie wystawiam faktury,PCI Express,11,NVIDIA,Gigabyte,GDDR5,Używany,352,GTX1080ti
4,500,6,powietrzem,Nie wystawiam faktury,PCI Express,3,NVIDIA,Gigabyte,GDDR5,Używany,192,GTX1060
5,1050,4,powietrzem,Wystawiam fakturę VAT,PCI Express,6,NVIDIA,Gigabyte,GDDR5,Nowy,192,GTX1660
6,1499,2,powietrzem,Wystawiam fakturę VAT,PCI Express,6,NVIDIA,ZOTAC,GDDR6,Nowy,192,RTX2060
7,1255,5,powietrzem,Wystawiam fakturę VAT,PCI Express,6,NVIDIA,Gigabyte,GDDR6,Nowy,192,GTX1660ti
8,650,1,powietrzem,Wystawiam fakturę VAT-marża,PCI Express,6,NVIDIA,Palit,GDDR5X,Używany,256,GTX1060
9,1380,5,powietrzem,Wystawiam fakturę VAT-marża,PCI Express,8,NVIDIA,Palit,GDDR5X,Używany,256,GTX1080
10,1029,7,powietrzem,Wystawiam fakturę VAT,PCI Express,6,NVIDIA,Asus,DDR5,Nowy,192,GTX1060
11,1570,25,powietrzem,Wystawiam fakturę VAT,PCI Express,6,NVIDIA,Palit,GDDR6,Nowy,192,RTX2060
12,490,2,powietrzem,Wystawiam fakturę VAT-marża,PCI Express,4,NVIDIA,MSI,GDDR5,Używany,128,GTX960
13,639,30,powietrzem,Nie wystawiam faktury,PCI Express,8,AMD,XFX,GDDR5,Używany,352,RX580
14,775,1,powietrzem,Wystawiam fakturę VAT,PCI Express,8,AMD,XFX,GDDR5,Nowy,256,RX580
15,1059,4,powietrzem,Wystawiam fakturę VAT,PCI Express,6,NVIDIA,Asus,DDR5,Nowy,192,GTX1060
16,677,17,powietrzem,Wystawiam fakturę VAT,PCI Express,4,NVIDIA,Gigabyte,GDDR5,Nowy,128,GTX1050ti
17,599,20,powietrzem,Wystawiam fakturę VAT,PCI Express,4,NVIDIA,NVIDIA,DDR5,Nowy,256,GTX970
